LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
455;252150180;Lubinicko-Świebodzin;Obrzyca (156);52 14 34;15 32 43;88.0
456;252150270;BABIMOST;Gniła Obra (1568);52 08 37;15 48 12;57.0
457;252160050;Ryczywół;Wełna (186);52 48 57;16 50 20;70
458;252160110;Szamotuły-Baborówka;Sama (1872);52 35 04;16 38 17;74.0
459;252160160;Paproć;Obra (1878);52 18 16;16 10 59;77.0
460;252160230;Wielichowo;Obra (1878);52 06 50;16 21 23;65.0
461;252160350;Kopaszewo;Kanał Mosiński (1856);52 00 12;16 49 06;91.0
462;252160370;Wronki;Warta (18);52 41 33;16 22 23;70.0
463;252170060;Janowiec Wielkopolski;Wełna (186);52 45 17;17 27 44;95
464;252170110;Gniezno;Wełna (186);52 33 27;17 31 55;170.0
465;252170180;Września;Wrześnica (1838);52 18 54;17 35 33;105
466;252170190;SŁUPCA;Warta (18);52 16 19;17 53 00;89.0
467;252170210;Kórnik;Warta (18);52 14 43;17 06 07;77.0
468;252170330;Nowa Wieś Podgórna;Warta (18);52 08 32;17 35 21;73.0
469;252170390;Gniezno II;Wełna (186);52 31 25;17 37 49;117.0
470;252170420;Rogowo;Wełna (186);52 43 57;17 38 36;94.0
471;252180060;Pakość;Noteć (188);52 47 58;18 05 33;76.0
472;252180080;Kołuda Wielka;Noteć (188);52 44 09;18 08 56;88.0
473;252180210;Kłodawa;Rgilewka (18332);52 15 03;18 54 57;117
474;252180260;Turek;Kiełbaska (18334);52 00 37;18 29 54;115
475;252180290;Tuliszków ;Powa (18352);52 04 04;18 16 07;111.0
476;252180310;RADOSZEWICE;Noteć (188);52 21 43;18 42 22;110.0
477;252190030;GŁODOWO;Mień (2794);52 49 50;19 14 08;104.0
478;252190120;Żychlin;Bzura (272);52 14 34;19 37 23;97.0
479;252190160;Walewice;Bzura (272);52 06 10;19 39 56;95.0
480;252200080;BORKOWO;Wkra (268);52 33 43;20 39 37;85.0
481;252200120;LEGIONOWO;Wisła (2);52 24 28;20 57 22;94.0
482;252200150;Warszawa-Bielany;Wisła (2);52 16 53;20 57 48;98.0
483;252210020;CZARNOWO;Orz (2656);52 52 55;21 32 06;94.0
484;252210050;PUŁTUSK;Narew (26);52 43 39;21 05 25;95.0
485;252210240;Wielgolas;Wisła (2);52 02 14;21 43 26;150.0
486;252210290;Rybienko;Bug (266);52 34 40;21 25 45;93.0
487;252210330;Rząśnik Włościański;Narew (26);52 50 59;21 43 14;120.0
488;252220050;BRAŃSK;Nurzec (2666);52 44 31;22 49 35;125.0
489;252220120;TONKIELE;Bug (266);52 24 44;22 33 55;115.0
490;252230010;NOWOSADY;Kołonna (2611316);52 58 21;23 52 44;160
491;252230030;BONDARY;Narew (26);52 56 15;23 45 16;147.0
492;252230040;NAREW;Narew (26);52 54 53;23 31 09;139.0
493;252230060;NAREWKA;Narewka (2612);52 52 18;23 43 41;143
494;252230080;NOWE MASIEWO;Narew (26);52 50 02;23 53 50;150
495;252230090;CHRABOŁY;Orlanka (2614);52 51 44;23 11 44;127
496;252230110;HAJNÓWKA;Leśna (26652);52 43 57;23 33 37;163.0
497;252230120;BIAŁOWIEŻA;Narewka (2612);52 42 26;23 50 52;163.0
498;252230190;CICIBÓR;Krzna (2664);52 04 37;23 06 34;144.0
499;252230230;NAREW;Narew (26);52 55 00;23 31 22;134.0
500;252230240;NAREWKA;Narewka (2612);52 51 49;23 43 30;143.0
501;252230250;ZAMOSZE;Narewka (2612);52 48 55;23 54 46;157.0
502;252230280;Jagodniki;Orlanka (2614);52 41 50;23 29 21;156.0
503;252230290;Bolesty;Nurzec (267146);52 44 12;23 05 27;156.0
504;253140010;Wolin;Cieśnina Dziwna (35);53 50 15;14 36 57;2.0
505;253140040;Trzebież;Zalew Szczeciński (319);53 39 47;14 30 50;1
506;253140060;Goleniów;Ina (198);53 35 38;14 53 18;34
507;253140110;Gryfino;Odra (Regalica) (19751);53 15 25;14 29 04;3.0
508;253150020;Witno;Cieśnina Dziwna (35);53 56 40;15 03 47;20.0
509;253150070;Łabędzie;Rega (42);53 39 02;15 48 33;100
510;253150130;Lisowo;Krąpiel (1988);53 25 51;15 18 05;95
511;253150190;PRZELEWICE;Płonia (1976);53 06 15;15 04 56;65.0
512;253150250;Drawno;Drawa (1888);53 12 47;15 46 12;76.0
513;253150290;Łopianów;Rega (42);53 52 32;15 15 41;32.0
514;253150310;Niedźwiedziska;Cieśnina Dziwna (35);53 56 58;15 04 41;20.0
515;253150330;Słonowice;Rega (42);53 43 01;15 43 05;105.0
516;253150340;Międzyrzecze;Rega (42);53 52 19;15 34 06;59.0
517;253150360;Kinowo;Rega (42);53 58 30;15 27 05;32.0
518;253160010;Sępolno Wielkie;Biała (188624);53 56 51;16 46 25;165
519;253160020;Osówko;Parsęta (44);53 54 20;16 04 05;55
520;253160040;Grzmiąca;Parsęta (44);53 50 09;16 26 21;100.0
521;253160090;WIERZCHOWO;Drawa (1888);53 27 36;16 06 16;137.0
522;253160110;Jastrowie;Gwda (1886);53 25 32;16 48 50;111
523;253160260;Wicewo;Parsęta (44);53 53 15;16 07 25;47.0
524;253170030;RÓŻKI-DĘBIE;Brda (292);53 53 28;17 08 53;155.0
525;253170060;Zapędowo;Brda (292);53 42 15;17 50 25;125
526;253170160;Sypniewo;Łobżonka (1884);53 21 52;17 19 49;128.0
527;253170210;Chrząstowo;Noteć (188);53 09 40;17 35 01;105.0
528;253170320;Lipa;Noteć (188);53 03 02;17 15 27;62.0
529;253170330;Sitowiec;Krówka (29276);53 22 08;17 45 15;134.0
530;253170340;Iwno;Dopływ z Łankowic (188528);53 01 36;17 25 05;111.0
531;253170350;Czyczkowy;Wda (294);53 51 39;17 44 00;137.0
532;253170360;Pruszcz;Brda (292);53 26 47;17 49 32;124.0
533;253170370;Upiłka;Wda (294);53 56 49;17 56 49;141.0
534;253180020;RADOSTOWO;Wisła (2);53 59 22;18 44 50;40.0
535;253180040;Starogard Gdański;Wierzyca (298);53 58 56;18 32 56;85.0
536;253180060;Czarna Woda;Wda (294);53 50 26;18 05 34;125.0
537;253180090;Śliwice;Wda (294);53 42 17;18 10 33;119.0
538;253180150;Grudziądz;Wisła (2);53 26 15;18 42 34;25.0
539;253180160;Radzyń-Fijewo;Radzyńska Struga (296692);53 22 58;18 56 49;104.0
540;253180170;Nowy Jasiniec;Brda (292);53 20 54;18 02 14;90.0
541;253180220;Bydgoszcz;Brda (292);53 10 25;18 02 45;55
542;253180260;Lubiewo;Brda (292);53 27 50;18 01 30;116.0
543;253180270;Skórcz-Ryzowie;Wierzyca (298);53 47 18;18 32 13;85.0
544;253190030;Dobrocin;Drwęca (28);53 54 30;19 49 41;118.0
545;253190070;Prabuty;Nogat (52);53 44 22;19 12 54;100
546;253190220;LIDZBARK;Wel (286);53 15 16;19 49 27;140.0
547;253190260;OSTROWITE;Drwęca (28);53 25 12;19 16 27;101.0
548;253190310;Kuligi;Wel (286);53 25 51;19 41 28;96.0
549;253190360;Najmowo;Osa (296);53 18 30;19 19 36;104.0
550;253190370;Bągart;Elbląg (54);53 59 30;19 23 04;0.0
551;253190380;Lubstyn;Drwęca (28);53 31 39;19 50 44;200.0
552;253200080;Jemiołowo;Pasłęka (56);53 33 42;20 17 58;175.0
553;253210130;SZCZYTNO;Omulew (2654);53 34 37;21 00 44;160
554;253210170;ROZOGI;Szkwa (26518);53 29 29;21 22 46;130.0
555;253210180;PTAKI;Pisa (264);53 23 26;21 47 41;112.0
556;253210210;MYSZYNIEC;Rozoga (2652);53 23 04;21 21 01;120.0
557;253210220;DOBRYLAS;Pisa (264);53 17 47;21 49 38;104.0
558;253210260;ZARUZIE;Ruż (26516);53 08 51;21 48 09;87.0
559;253210280;DOBRYLAS;Pisa (264);53 17 07;21 51 53;102.0
560;253210290;PTAKI;Pisa (264);53 23 35;21 47 30;107.0
561;253210350;TYSZKI-WĄDOŁOWO;Skroda (26498);53 26 52;21 59 03;152.0
562;253210370;ŚWIĘTAJNO;Szkwa (26518);53 33 49;21 13 41;142.0
563;253210380;Turowo;Pisa (264);53 31 43;21 54 06;141.0
564;253220070;BIEBRZA;Ełk (2628);53 39 02;22 34 42;115
565;253220080;DĘBOWO;Biebrza (262);53 36 38;22 55 50;115
566;253220120;OSOWIEC;Biebrza (262);53 28 57;22 38 45;110.0
567;253220130;RADZIŁÓW;Wissa (26296);53 24 50;22 24 19;115
568;253220160;BURZYN;Biebrza (262);53 16 43;22 27 15;120.0
569;253220210;TYKOCIN;Narew (26);53 12 16;22 46 14;109.0
570;253220220;ZAWADY;Ślina (26194);53 09 25;22 40 24;110.0
571;253220270;JABŁONOWO-WYPYCHY;Narew (26);53 01 47;22 45 01;130
572;253220310;MOŃKI;Nereśl (2618);53 24 01;22 47 47;175.0
573;253220330;MARIANOWO II;Narew (26);53 12 43;22 06 21;138.0
574;253220360;Biernatki;Netta (2622);53 52 04;22 51 12;136.0
575;253220370;Sawino;Narew (26);53 10 08;22 51 53;118.0
576;253230020;RÓŻANYSTOK;Sidra (26214);53 38 07;23 24 05;160
577;253230030;JANÓW;Brzozówka (2624);53 27 35;23 13 46;161.0
578;253230060;JAŁÓWKA;Sokołda (26162);53 21 14;23 20 26;170.0
579;253230110;FASTY;Supraśl (2616);53 10 39;23 01 33;114.0
580;253230160;SUPRAŚL;Supraśl (2616);53 12 39;23 19 57;137.0
581;253230170;NOWOSIÓŁKI;Supraśl (2616);53 10 30;23 31 35;132
582;253230180;Drahle;Sokołda (26162);53 23 08;23 33 18;162.0
583;253230230;Zarzeczany;Supraśl (2616);53 06 06;23 41 04;146.0
584;254140010;Dziwnów;Morze Bałtyckie (0);54 01 20;14 43 54;3.0
585;254150050;Białogard;Parsęta (44);54 00 15;15 58 30;23.0
586;254150060;Gąski;Czerwona (454);54 14 17;15 55 02;8.0
587;254160020;Darłowo;Wieprza (46);54 25 60;16 22 06;12.0
588;254160030;Sławno;Wieprza (46);54 21 06;16 40 13;25.0
589;254160040;Jeżyczki;Wieprza (46);54 20 05;16 23 26;10.0
590;254160060;Sierakowo;Wieprza (46);54 12 59;16 30 59;50.0
591;254160080;Polanów;Wieprza (46);54 07 07;16 40 59;80.0
592;254160110;Miastko;Wieprza (46);54 00 56;16 58 49;160
593;254160130;Ciecholub;Wieprza (46);54 10 22;16 52 28;115.0
594;254160140;Kłanino;Parsęta (44);54 01 39;16 28 70;114.0
595;254170020;Smołdzino;Łupawa (474);54 40 02;17 12 06;4.0
596;254170040;Karżniczka;Łupawa (474);54 29 15;17 13 43;75.0
597;254170060;Mikorowo;Łeba (476);54 24 30;17 34 50;117.0
598;254170070;Bukowina;Łupawa (474);54 25 20;17 50 36;155.0
599;254170130;Niezabyszewo;Słupia (472);54 08 18;17 25 24;160
600;254170140;Kościerzyna;Wierzyca (298);54 07 43;17 57 43;190.0
601;254170190;Słupsk;Słupia (472);54 27 48;17 02 08;17.0
602;254170210;Borucino;Radunia (4868);54 15 13;17 59 30;
603;254170280;Struszewo;Słupia (472);54 10 44;17 21 26;131.0
604;254180010;Rozewie;Bałtyk (0);54 49 46;18 20 08;54
605;254180050;Wejherowo;Reda (478);54 35 54;18 16 13;22.0
606;254180060;Gdynia;Bałtyk (0);54 31 08;18 33 34;2
607;254180070;Tępcz;Łeba (476);54 30 27;18 02 20;178.0
608;254180090;Gdańsk-Rębiechowo;Morze Bałtyckie (0);54 22 16;18 29 12;146.0
609;254180130;Goręczyno;Radunia (4868);54 15 43;18 09 45;177.0
610;254180140;Ostrzyce-Brodnica Górna;Radunia (4868);54 16 28;18 05 29;213.0
611;254180260;Gdańsk-Port Północny;Bałtyk (0);54 23 59;18 41 52;2.0
612;254180270;Zelewo;Reda (478);54 37 23;18 04 31;43.0
613;254190020;Nowa Pasłęka;Zalew Wiślany (5119);54 25 34;19 44 49;2.0
614;254190050;Frombork;Zalew Wiślany (5119);54 21 37;19 40 38;2.0
615;254190070;Tolkmicko;Zalew Wiślany (5119);54 19 31;19 31 21;2
616;254190080;Pierzchały;Pasłęka (56);54 18 02;19 50 57;11
617;254190120;Kmiecin;Szkarpawa (514);54 11 16;19 09 50;0.0
618;254190160;Pasłęk;Wąska (5456);54 04 07;19 38 10;14.0
619;254190190;Elbląg;Elbląg (54);54 09 43;19 25 53;39.0
620;254190230;Rogity;Pasłęka (56);54 23 21;19 51 41;8.0
621;254200040;BARTOSZYCE;Łyna (584);54 14 25;20 47 52;59.0
622;254200050;Bornity;Wałsza (568);54 11 04;20 03 03;47.0
623;254200070;KASZUNY;Drwęca Warmińska (566);54 09 30;20 20 23;89.0
624;254200080;LIDZBARK WARMIŃSKI;Łyna (584);54 08 09;20 35 10;90
625;254210020;WĘGORZEWO;Węgorapa (582);54 13 26;21 44 05;116.0
626;254220020;ŻABIN;Węgorapa (582);54 19 17;22 02 17;110.0
627;254220030;GOŁDAP;Gołdapa (5824);54 18 30;22 16 07;159.0
628;254220060;BANIE MAZURSKIE;Gołdapa (5824);54 15 06;22 01 23;110.0
629;254220090;OLECKO;Jez. Olecko Wielkie (2626139);54 02 51;22 29 13;182.0
630;254230040;Podwojponie;Szeszupa (68);54 18 01;23 07 10;207.0
631;349190600;Bielsko-Biała;Biała (2114);49 48 24;19 00 08;396.0
632;349190625;Zakopane;Dunajec (214);49 17 38;19 57 37;852.0
633;349190650;KASPROWY WIERCH;Dunajec (214);49 13 57;19 58 55;1990
634;349200628;Hala Gąsienicowa;Dunajec (214);49 14 38;20 00 21;1523.0
635;349200660;NOWY SĄCZ;Dunajec (214);49 37 38;20 41 19;292
636;349210670;KROSNO;Wisłok (226);49 42 24;21 46 09;330.0
637;349220690;LESKO;San (22);49 27 59;22 20 30;420
638;349220695;PRZEMYŚL;San (22);49 48 15;22 46 19;279
639;350150500;Jelenia Góra;Bóbr (16);50 54 01;15 47 20;342
640;350150510;Śnieżka;Łomniczka (16184);50 44 11;15 44 23;1603
641;350160520;Kłodzko;Nysa Kłodzka (12);50 26 13;16 36 51;356.0
642;350170530;Opole;Odra (1);50 37 37;17 58 08;163.0
643;350180540;Racibórz;Odra (1);50 03 40;18 11 27;206
644;350190550;Częstochowa;Warta (18);50 48 43;19 05 30;293.0
645;350190560;KATOWICE-MUCHOWIEC;Rawa (21268);50 14 26;19 01 58;278.0
646;350190566;Kraków-Balice;Wisła (2);50 04 40;19 47 42;236.0
647;350200570;KIELCE-SUKÓW;Czarna Nida (2164);50 48 38;20 41 32;260
648;350200575;TARNÓW;Biała (2148);50 01 32;20 56 31;210.0
649;350210585;SANDOMIERZ;Wisła (2);50 41 48;21 42 57;217
650;350220580;RZESZÓW-JASIONKA;Wisłok (226);50 06 39;22 02 32;206.0
651;350230595;Zamość;Wieprz (24);50 41 54;23 12 20;223.0
652;351150400;Zielona Góra;Odra (1);51 55 48;15 31 29;192
653;351160415;Legnica;Kaczawa (138);51 11 33;16 12 28;123.0
654;351160418;Leszno;Strzyżewicki Rów (14884);51 50 08;16 32 05;91
655;351160424;Wrocław-Strachowice;Odra (1);51 06 12;16 54 00;120
656;351160425;WROCŁAW;Odra (1);51 06 49;16 52 54;120.0
657;351180435;Kalisz;Prosna (184);51 46 52;18 04 51;137.0
658;351180455;Wieluń;Warta (18);51 12 37;18 33 24;199
659;351190465;Łódź-Lublinek;Ner (1832);51 43 06;19 23 14;174.0
660;351190469;Sulejów;Pilica (254);51 21 12;19 51 59;188.0
661;351210488;Kozienice;Wisła (2);51 33 53;21 32 37;123.0
662;351220495;LUBLIN-RADAWIEC;Bystrzyca (246);51 13 00;22 23 35;238.0
663;351230497;Włodawa;Bug (266);51 33 12;23 31 46;177.0
664;352140310;Słubice;Odra (1);52 20 55;14 37 11;53
665;352150300;Gorzów Wlkp.;Warta (18);52 44 28;15 16 38;71
666;352160330;Poznań-Ławica;Warta (18);52 25 00;16 50 05;88.0
667;352180345;Koło-Radoszewice;Noteć (188);52 21 43;18 42 22;109.0
668;352190360;PŁOCK;Wisła (2);52 35 18;19 43 33;106.0
669;352200375;Warszawa;Wisła (2);52 09 46;20 57 40;106.0
670;352220385;SIEDLCE;Liwiec (2668);52 10 52;22 14 41;152.0
671;352230399;TERESPOL;Bug (266);52 04 43;23 37 19;133.0
672;353140200;Świnoujście;Bałtyk (0);53 55 24;14 14 32;4.0
673;353140205;Szczecin;Odra (1);53 23 43;14 37 22;1.0
674;353150210;Resko-Smólsko;Rega (42);53 45 49;15 23 36;52
675;353160215;Szczecinek;Gwda (1886);53 43 04;16 44 48;139.0
676;353160230;Piła;Gwda (1886);53 07 50;16 44 50;72
677;353170235;Chojnice;Brda (292);53 42 55;17 31 57;164.0
678;353180250;Toruń;Wisła (2);53 02 31;18 35 44;69.0
679;353200270;MŁAWA;Wkra (268);53 06 15;20 21 40;147
680;353200272;OLSZTYN;Łyna (584);53 46 07;20 25 17;133
681;353210280;MIKOŁAJKI;Jez. Mikołajskie (26439);53 47 21;21 35 23;127
682;353210285;OSTROŁĘKA;Narew (26);53 03 57;21 32 02;94
683;353230295;BIAŁYSTOK;Biała (26168);53 06 26;23 09 44;148.0
684;354150100;Kołobrzeg-Dźwirzyno;Jez. Resko Przymorskie (43219);54 09 30;15 23 20;4.0
685;354160105;Koszalin;Dzierżęcinka (45614);54 12 16;16 09 19;33
686;354160115;Ustka;Bałtyk (0);54 35 18;16 51 15;3.0
687;354170120;Łeba;Łeba (476);54 45 13;17 32 05;1
688;354170125;Lębork;Łeba (476);54 33 11;17 45 25;39
689;354180135;Hel;Bałtyk (0);54 36 13;18 48 43;1
690;354180155;Gdańsk-Świbno;Wisła (2);54 20 01;18 56 04;7.0
691;354190160;Elbląg-Milejewo;Elbląg (54);54 13 24;19 32 37;189.0
692;354210185;KĘTRZYN;Guber (5848);54 04 02;21 22 00;107.0
693;354220195;SUWAŁKI;Czarna Hańcza (64);54 07 51;22 56 56;184
